Product,Customer,Qtr 1,Qtr 2,Qtr 3,Qtr 4
Alice Mutton,ANTON, $-   , $702.00 , $-   , $-   
Alice Mutton,BERGS, $312.00 , $-   , $-   , $-   
Alice Mutton,BOLID, $-   , $-   , $-   ," $1,170.00 "
Alice Mutton,BOTTM," $1,170.00 ", $-   , $-   , $-   
Alice Mutton,ERNSH," $1,123.20 ", $-   , $-   ," $2,607.15 "
Alice Mutton,GODOS, $-   , $280.80 , $-   , $-   
Alice Mutton,HUNGC, $62.40 , $-   , $-   , $-   
Alice Mutton,PICCO, $-   ," $1,560.00 ", $936.00 , $-   
Alice Mutton,RATTC, $-   , $592.80 , $-   , $-   
Alice Mutton,REGGC, $-   , $-   , $-   , $741.00 
Alice Mutton,SAVEA, $-   , $-   ," $3,900.00 ", $789.75 
Alice Mutton,SEVES, $-   , $877.50 , $-   , $-   
Alice Mutton,WHITC, $-   , $-   , $-   , $780.00 
Aniseed Syrup,ALFKI, $-   , $-   , $-   , $60.00 
Aniseed Syrup,BOTTM, $-   , $-   , $-   , $200.00 
Aniseed Syrup,ERNSH, $-   , $-   , $-   , $180.00 
Aniseed Syrup,LINOD, $544.00 , $-   , $-   , $-   
Aniseed Syrup,QUICK, $-   , $600.00 , $-   , $-   
Aniseed Syrup,VAFFE, $-   , $-   , $140.00 , $-   
Boston Crab Meat,ANTON, $-   , $165.60 , $-   , $-   
Boston Crab Meat,BERGS, $-   , $920.00 , $-   , $-   
Boston Crab Meat,BONAP, $-   , $248.40 , $524.40 , $-   
Boston Crab Meat,BOTTM, $551.25 , $-   , $-   , $-   
Boston Crab Meat,BSBEV, $147.00 , $-   , $-   , $-   
Boston Crab Meat,FRANS, $-   , $-   , $-   , $18.40 
Boston Crab Meat,HILAA, $-   , $92.00 ," $1,104.00 ", $-   
Boston Crab Meat,LAZYK, $147.00 , $-   , $-   , $-   
Boston Crab Meat,LEHMS, $-   , $515.20 , $-   , $-   
Boston Crab Meat,MAGAA, $-   , $-   , $-   , $55.20 
Boston Crab Meat,OTTIK, $-   , $-   , $368.00 , $-   
Boston Crab Meat,PERIC, $308.70 , $-   , $-   , $-   
Boston Crab Meat,QUEEN, $26.46 , $-   , $419.52 , $110.40 
Boston Crab Meat,QUICK, $-   , $-   ," $1,223.60 ", $-   
Boston Crab Meat,RANCH, $294.00 , $-   , $-   , $-   
Boston Crab Meat,SAVEA, $-   , $-   , $772.80 , $736.00 
Boston Crab Meat,TRAIH, $-   , $36.80 , $-   , $-   
Boston Crab Meat,VAFFE, $294.00 , $-   , $-   , $736.00 
Camembert Pierrot,ANATR, $-   , $-   , $340.00 , $-   
Camembert Pierrot,AROUT, $-   , $-   , $-   , $510.00 
Camembert Pierrot,BERGS, $-   , $-   , $680.00 , $-   
Camembert Pierrot,BOTTM, $-   , $-   , $-   ," $1,700.00 "
Camembert Pierrot,CHOPS, $-   , $323.00 , $-   , $-   
Camembert Pierrot,FAMIA, $-   , $346.80 , $-   , $-   
Camembert Pierrot,FRANK, $-   , $-   , $612.00 , $-   
Camembert Pierrot,FURIB, $544.00 , $-   , $-   , $-   
Camembert Pierrot,GOURL, $-   , $-   , $-   , $340.00 
Camembert Pierrot,LEHMS, $-   , $892.50 , $-   , $-   
Camembert Pierrot,MEREP, $-   , $-   ," $2,261.00 ", $-   
Camembert Pierrot,OTTIK, $-   , $-   ," $1,020.00 ", $-   
Camembert Pierrot,QUEEN, $-   , $-   , $-   , $510.00 
Camembert Pierrot,QUICK, $-   ," $2,427.60 "," $1,776.50 ", $-   
Camembert Pierrot,RICAR," $1,088.00 ", $-   , $-   , $-   
Camembert Pierrot,RICSU," $1,550.40 ", $-   , $-   , $-   
Camembert Pierrot,SAVEA, $-   , $-   ," $2,380.00 ", $-   
Camembert Pierrot,WARTH, $-   , $693.60 , $-   , $-   
Camembert Pierrot,WOLZA, $-   , $-   , $510.00 , $-   
Chef Anton's Cajun Seasoning,BERGS, $-   , $-   , $237.60 , $-   
Chef Anton's Cajun Seasoning,BONAP, $-   , $935.00 , $-   , $-   
Chef Anton's Cajun Seasoning,EASTC, $-   , $-   , $-   , $550.00 
Chef Anton's Cajun Seasoning,FOLKO, $-   ," $1,045.00 ", $-   , $-   
Chef Anton's Cajun Seasoning,FURIB, $225.28 , $-   , $-   , $-   
Chef Anton's Cajun Seasoning,MAGAA, $-   , $-   , $198.00 , $-   
Chef Anton's Cajun Seasoning,QUEEN, $-   , $-   , $-   , $132.00 
Chef Anton's Cajun Seasoning,QUICK, $-   , $990.00 , $-   , $-   
Chef Anton's Cajun Seasoning,TRADH, $-   , $-   , $352.00 , $-   
Chef Anton's Cajun Seasoning,WARTH, $-   , $-   , $550.00 , $-   
Chef Anton's Gumbo Mix,MAGAA, $-   , $-   , $288.22 , $-   
Chef Anton's Gumbo Mix,THEBI, $-   , $-   , $-   , $85.40 
Filo Mix,AROUT, $-   , $210.00 , $-   , $56.00 
Filo Mix,BERGS, $-   , $-   , $-   , $175.00 
Filo Mix,BLONP, $112.00 , $-   , $-   , $-   
Filo Mix,DUMON, $-   , $-   , $63.00 , $-   
Filo Mix,FAMIA, $-   , $-   , $-   , $28.00 
Filo Mix,LAUGB, $-   , $-   , $35.00 , $-   
Filo Mix,NORTS, $-   , $42.00 , $-   , $-   
Filo Mix,OLDWO, $-   , $-   , $168.00 , $-   
Filo Mix,REGGC, $-   , $-   , $23.80 , $-   
Filo Mix,RICAR, $-   , $490.00 , $-   , $-   
Filo Mix,RICSU, $-   , $-   , $-   , $420.00 
Filo Mix,TOMSP, $75.60 , $-   , $-   , $-   
Filo Mix,VAFFE, $-   , $-   , $-   , $99.75 
Filo Mix,VINET, $-   , $-   , $-   , $126.00 
Gorgonzola Telino,AROUT, $-   , $-   , $-   , $625.00 
Gorgonzola Telino,BLONP, $-   , $593.75 , $-   , $-   
Gorgonzola Telino,BONAP, $-   , $-   , $-   , $35.62 
Gorgonzola Telino,CACTU, $-   , $-   , $-   , $12.50 
Gorgonzola Telino,ERNSH, $-   , $-   , $-   , $890.00 
Gorgonzola Telino,FOLKO, $-   , $-   , $-   , $18.75 
Gorgonzola Telino,GOURL, $140.00 , $-   , $-   , $-   
Gorgonzola Telino,HANAR, $-   , $-   , $-   , $125.00 
Gorgonzola Telino,HILAA, $-   , $-   , $-   , $250.00 
Gorgonzola Telino,HUNGO, $-   , $600.00 , $-   , $-   
Gorgonzola Telino,LEHMS, $-   , $250.00 , $-   , $-   
Gorgonzola Telino,OLDWO, $-   , $-   , $187.50 , $-   
Gorgonzola Telino,PICCO, $-   , $-   , $-   , $100.00 
Gorgonzola Telino,QUEEN, $-   , $-   , $237.50 , $-   
Gorgonzola Telino,QUICK, $-   , $584.37 , $-   , $-   
Gorgonzola Telino,RATTC, $-   , $421.25 , $-   , $-   
Gorgonzola Telino,RICSU, $-   , $375.00 , $-   , $-   
Gorgonzola Telino,SAVEA, $-   , $-   , $-   , $625.00 
Gorgonzola Telino,SUPRD, $297.50 , $-   , $-   , $-   
Gorgonzola Telino,TOMSP, $27.00 , $-   , $-   , $-   
Gorgonzola Telino,TORTU, $-   , $250.00 , $-   , $-   
Gorgonzola Telino,TRADH, $-   , $190.00 , $-   , $-   
Gorgonzola Telino,WANDK, $-   , $-   , $90.00 , $-   
Gorgonzola Telino,WARTH, $-   , $375.00 , $-   , $-   
Grandma's Boysenberry Spread,GOURL, $-   , $-   , $-   , $750.00 
